t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s)
1.000000000000000e-02,8,600,AIG9,1.024318537283368e+00,0.000000000000000e+00,1.231798540000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,8,600,AIG9,1.024318537283984e+00,0.000000000000000e+00,8.509400500000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,8,600,AIG9,1.024318537283948e+00,0.000000000000000e+00,2.950563420000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,101400,AIG9,2.110357265143981e+02,0.000000000000000e+00,2.561726770000000e+00,0.000000000000000e+00,direct
1.000000000000000e-02,8,600,AIG9,1.024318537282008e+00,0.000000000000000e+00,1.647041700000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,128,396294,CFI9,3.197632343765641e-02,0.000000000000000e+00,3.844443170000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-01,128,396294,CFI9,4.150019232642118e-02,0.000000000000000e+00,5.203545330000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-03,128,99846,CFI4,2.052782396110119e-03,0.000000000000000e+00,2.037100900000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-03,128,99846,MITC4,3.180730494731661e-02,0.000000000000000e+00,8.374846889999999e-01,0.000000000000000e+00,gmg
1.000000000000000e-03,128,99846,MITC4,3.180730494675424e-02,0.000000000000000e+00,8.351063909999999e-01,0.000000000000000e+00,gmg
1.000000000000000e-03,128,99846,MITC4,3.180730493747919e-02,0.000000000000000e+00,8.410827990000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-03,128,99846,MITC4,3.180730495219546e-02,0.000000000000000e+00,8.429932870000000e-01,0.000000000000000e+00,gmg
