t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
2.000000000000000e-01,256,1579014,AIG9,6.815810380137723e-02,0.000000000000000e+00,3.801640660000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-01,512,6303750,AIG9,6.815810381846152e-02,0.000000000000000e+00,1.556830667000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,4,1014,CFI16,3.220631569726863e-02,0.000000000000000e+00,1.983234400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,3750,CFI16,3.204937819909606e-02,0.000000000000000e+00,3.372964200000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,14406,CFI16,3.203450022024518e-02,0.000000000000000e+00,9.818347900000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,32,56454,CFI16,3.203353539126900e-02,0.000000000000000e+00,2.566557220000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,223494,CFI16,3.203348008093736e-02,0.000000000000000e+00,1.415722956000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,128,889350,CFI16,3.203347737783687e-02,0.000000000000000e+00,7.314255703000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,16,3179,HRA4,3.059550460739744e-02,0.000000000000000e+00,9.004649000000001e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,11979,HRA4,3.167996707243278e-02,0.000000000000000e+00,4.131406690000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,46475,HRA4,3.195055657742598e-02,0.000000000000000e+00,1.706253774000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,128,183051,HRA4,3.201816885080271e-02,0.000000000000000e+00,9.096760719000001e+00,0.000000000000000e+00,direct
2.000000000000000e-03,256,726539,HRA4,3.203506969124240e-02,0.000000000000000e+00,3.459637882400000e+01,0.000000000000000e+00,direct
2.000000000000000e-03,4,1014,MITC16,3.148048580168107e-02,0.000000000000000e+00,1.998274600000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,3750,MITC16,3.143846326660733e-02,0.000000000000000e+00,3.002646700000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,14406,MITC16,3.143719816560168e-02,0.000000000000000e+00,8.659905200000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,56454,MITC16,3.143713724075611e-02,0.000000000000000e+00,2.576969750000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,223494,MITC16,3.143713293400716e-02,0.000000000000000e+00,1.382181543000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,128,889350,MITC16,3.143713330464194e-02,0.000000000000000e+00,7.313305211000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,4,1014,LFI16,3.220631569642230e-02,0.000000000000000e+00,1.985385400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,3750,LFI16,3.204937820068218e-02,0.000000000000000e+00,2.993326200000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,14406,LFI16,3.203450021375521e-02,0.000000000000000e+00,1.030781270000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,32,56454,LFI16,3.203353539083242e-02,0.000000000000000e+00,2.562564970000000e-01,0.000000000000000e+00,direct
2.000000000000000e-03,64,223494,LFI16,3.203348002325263e-02,0.000000000000000e+00,1.419928419000000e+00,0.000000000000000e+00,direct
2.000000000000000e-03,128,889350,LFI16,3.203347720146028e-02,0.000000000000000e+00,7.414449342000000e+00,0.000000000000000e+00,direct
