mass=1.4419e+04 ksfail=1.0002e+00
comp281	6.7107417209455941e-02
comp282	9.3447786456802073e-02
comp283	1.1052737544773727e-01
comp284	1.1338204525696817e-01
comp285	1.2306822609025496e-01
comp286	1.2238897610047880e-01
comp287	9.0778168377032814e-02
comp288	6.1862891027208405e-02
comp289	6.5570691413904522e-02
comp290	6.0619582304786486e-02
comp291	2.3804577157770956e-02
comp292	7.0263577159717178e-02
comp293	8.3691544584068397e-02
comp294	8.9564637762755750e-02
comp295	2.5095317553029753e-02
comp296	8.1207131969544974e-02
comp297	1.2916846581266969e-01
comp298	1.3380162658345648e-01
comp299	1.4277236573541471e-01
comp300	1.4718905965408785e-01
comp301	1.4836206307505337e-01
comp302	1.2431928347919302e-01
comp303	7.6574008759212400e-02
comp304	5.0008272053519353e-03
comp305	2.6140081294156785e-02
comp306	5.7729862161129852e-02
comp307	1.0246538210707261e-01
comp308	1.0995978674024010e-01
comp309	5.0000000000000001e-03
comp310	2.9864052337503177e-02
comp311	4.5612541413303287e-02
comp312	1.3014929356510148e-02
comp313	4.5092129635184434e-02
comp314	1.0479534677524939e-01
comp315	9.2519154759903091e-02
comp316	8.1598083369799804e-02
comp317	6.3207152460563465e-02
comp318	3.0302517468041558e-02
comp319	8.0347243500148314e-03
comp320	5.7463053555301187e-02
comp321	6.5005571126060244e-02
comp322	5.5979159440429277e-02
comp323	2.7716358485798200e-02
comp324	2.3358069620061022e-02
comp325	2.4876338347098098e-02
comp326	5.3608346734328053e-03
comp327	1.1832016779351630e-01
comp328	1.1159128042898470e-01
comp329	1.3552280907538650e-01
comp330	1.4056563326196442e-01
comp331	1.4169723353205496e-01
comp332	1.4284845883970573e-01
comp333	1.4399690895325279e-01
comp334	1.3665213902629755e-01
comp335	6.1871682355310346e-03
comp336	7.1270045608216259e-02
comp337	7.8643990654630125e-02
comp338	8.9482849537771025e-02
comp339	1.1506177223923203e-01
comp340	1.0926606177304572e-01
comp341	4.8722542073679966e-02
comp342	2.1452193401341125e-02
comp343	3.6764335967605158e-02
comp344	2.9789278774798322e-02
comp345	5.0000000000000001e-03
comp346	1.0352974445826477e-01
comp347	7.5340791782152389e-02
comp348	5.4500105791876412e-02
comp349	3.6228053801437808e-02
comp350	2.8519766456090681e-02
comp351	1.0195259867850326e-02
comp352	5.2907460383101158e-02
comp353	6.4795129462510703e-02
comp354	3.3458072828220005e-02
comp355	5.6243781430255588e-02
comp356	7.0964919181028957e-02
comp357	6.0726387377501315e-02
comp358	5.0000000000000001e-03
comp359	1.1970991875748109e-01
comp360	1.3272112816800818e-01
comp361	1.4495327024878937e-01
comp362	1.4070997871416160e-01
comp363	1.2925685427377182e-01
comp364	1.1551179037763486e-01
comp365	1.0088021185460720e-01
comp366	8.2838396463632974e-03
comp367	1.5934889786074330e-01
comp368	1.7117176395470124e-01
comp369	1.7084529737107979e-01
comp370	1.5358717618592388e-01
comp371	1.2858305758554825e-01
comp372	1.0129361324311989e-01
comp373	6.2457047231426630e-02
comp374	4.9249237733926900e-02
comp375	5.3682505366329063e-03
comp376	1.4429220289684642e-02
comp377	5.8531197475719709e-03
comp378	7.7913560703258139e-02
comp379	5.7224226351596397e-03
comp380	5.0610467544173199e-03
comp381	5.0000726589103225e-03
comp382	7.2508442438426945e-03
comp383	9.8924691575145596e-03
comp384	2.2910012149060757e-02
comp385	4.8040137823788895e-02
comp386	5.2411249008470565e-02
comp387	4.5741662893702045e-02
comp388	2.1233606680465159e-02
comp389	5.0000000000000001e-03
comp390	5.5804583644017962e-02
comp391	1.0008562459385760e-01
comp392	1.4217157050733262e-01
comp393	1.5013985164484914e-01
comp394	1.4218296411271150e-01
comp395	1.1646239274482517e-01
comp396	1.0289982895395658e-01
comp397	5.1806696439639630e-02
comp398	1.1310414555345295e-01
comp399	1.4228883174722415e-01
comp400	1.6298135619318743e-01
comp401	1.6393481429391557e-01
comp402	1.6040043028024831e-01
comp403	1.4752008716379350e-01
comp404	1.2577944900130852e-01
comp405	9.0899514283225624e-02
comp406	5.0000238938168774e-03
comp407	4.7180354535282111e-02
comp408	4.8393983125386904e-02
comp409	4.9636608325033221e-02
comp410	1.1338644238207472e-01
comp411	1.4515388388255605e-02
comp412	5.0238822763364532e-03
comp413	5.0018550758116464e-03
comp414	6.2830155351804983e-03
comp415	9.2380158265951140e-03
comp416	5.1807224140758230e-02
comp417	7.0941342515705094e-02
comp418	7.9815982495108323e-02
comp419	7.5948976625446404e-02
comp420	5.2859860365459678e-02
comp421	2.7893057638918538e-02
comp422	5.8400072048562873e-02
comp423	8.5891698797943269e-02
comp424	1.2590406063490123e-01
comp425	1.4869355600267006e-01
comp426	1.3837606589718460e-01
comp427	1.0334081666003933e-01
comp428	5.0417182038043400e-02
comp429	6.3072867691120804e-02
comp430	1.1527285363574773e-01
comp431	1.4558532756499476e-01
comp432	1.6108003276812491e-01
comp433	1.6196562236583562e-01
comp434	1.5735358515935968e-01
comp435	1.4234956374548388e-01
comp436	1.2412368382765904e-01
comp437	7.1067187815413296e-02
comp438	6.2161205998199104e-02
comp439	5.6218373738205867e-02
comp440	6.1461246348422809e-02
comp441	6.1841770833507032e-02
comp442	1.1899712736128323e-01
comp443	2.1516597774478324e-02
comp444	5.0002799142128138e-03
comp445	5.0010607729310819e-03
comp446	6.5532510221724604e-03
comp447	5.0628984939908514e-03
comp448	7.9867555347774677e-02
comp449	9.7621462655482411e-02
comp450	1.0573939140873917e-01
comp451	1.1064766011863009e-01
