t/R,nxe,NDOF,solver,pc_complexity,lin_runtime(s)
1.000000000000000e-02,32,6336,DJ,1.226804123711340e+00,3.384422100000000e-02
1.000000000000000e-02,32,6336,GSMC,1.226804123711340e+00,7.611740600000000e-02
1.000000000000000e-02,32,6336,CP,1.226804123711340e+00,1.988011700000000e-02
1.000000000000000e-02,32,6336,ASW,2.759450171821306e+00,3.735608700000000e-02
1.000000000000000e-03,32,6336,LU,9.719931271477662e+00,4.475241200000000e-02
1.000000000000000e-03,32,6336,ILU2,5.495274914089347e+00,2.462781775000000e+00
1.000000000000000e-03,32,6336,DJ,1.226804123711340e+00,5.781754000000000e-02
1.000000000000000e-03,32,6336,GSMC,1.226804123711340e+00,1.422181890000000e-01
1.000000000000000e-03,32,6336,CP,1.226804123711340e+00,4.051096700000000e-02
1.000000000000000e-03,32,6336,ASW,2.759450171821306e+00,3.907735000000000e-02
1.000000000000000e-01,128,99072,LU,1.587803030303030e+01,6.210031930000000e-01
1.000000000000000e-01,128,99072,ILU0,2.000000000000000e+00,8.275411130000000e-01
1.000000000000000e-01,128,99072,ILU1,3.706709956709957e+00,4.236771030000000e-01
1.000000000000000e-01,128,99072,ILU2,5.663068181818182e+00,3.210676460000000e-01
1.000000000000000e-01,128,99072,DJ,1.223376623376623e+00,1.848777180000000e-01
1.000000000000000e-01,128,99072,GSMC,1.223376623376623e+00,3.798833320000000e-01
1.000000000000000e-01,128,99072,CP,1.223376623376623e+00,1.538819930000000e-01
1.000000000000000e-01,128,99072,ASW,2.773160173160173e+00,1.735577890000000e-01
1.000000000000000e-02,128,99072,LU,1.587803030303030e+01,6.364901509999999e-01
1.000000000000000e-02,128,99072,ILU1,3.707819264069264e+00,1.442522302000000e+00
1.000000000000000e-02,128,99072,ILU2,5.649323593073593e+00,6.853603810000000e-01
1.000000000000000e-02,128,99072,DJ,1.223376623376623e+00,5.940405550000000e-01
1.000000000000000e-02,128,99072,GSMC,1.223376623376623e+00,1.178468270000000e+00
1.000000000000000e-02,128,99072,CP,1.223376623376623e+00,4.894699960000000e-01
1.000000000000000e-02,128,99072,ASW,2.773160173160173e+00,4.801950050000000e-01
1.000000000000000e-03,128,99072,LU,1.587803030303030e+01,6.238113920000000e-01
1.000000000000000e-03,128,99072,CP,1.223376623376623e+00,1.126739048000000e+00
1.000000000000000e-03,128,99072,ASW,2.773160173160173e+00,3.885916520000000e-01
1.000000000000000e-01,512,1575936,DJ,1.222511385816526e+00,9.587607390000001e+00
1.000000000000000e-01,512,1575936,GSMC,1.222511385816526e+00,1.738394969800000e+01
